,0.01%,0.1%,0.2%,0.3%,0.4%,0.5%,0.6%,0.7%,0.8%,0.9%,1%
test 1,100,99.98,99.43,99.05,98.63,98.39,97.37,96.16,94.79,95.46,94.66
test 2,100,99.88,99.33,99.39,98.28,97.69,96.88,96.7,95.33,95.2,93.63
test 3,100,99.98,99.5,98.82,98.64,97.38,96.94,96.6,94.77,94.74,94.35
test 4,100,99.84,99.81,99.23,98.63,97.66,97.64,96.69,96.17,96.54,95.06
test 5,100,99.98,99.66,99.02,98.17,97.8,97.94,96.04,95.99,95.9,94.03
test 6,100,99.85,99.54,99.07,98.55,97.71,96.29,95.38,95.51,96.05,94.71
test 7,100,99.81,99.69,98.98,98.65,98.04,96.57,96.95,95.74,96.24,94.2
test 8,100,99.77,99.87,99.1,98.35,98.6,97.2,96.11,96.16,95.79,94.74
test 9,100,99.79,99.61,99.24,98.31,97.98,96.7,96.33,96.19,96.1,93.53
test 10,100,99.98,99.56,99.39,98.53,97.29,97.29,95.89,96.39,95.65,94.05
